run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,rl_action_count,completed_time
1,1.000000,1.445783,100.000000,0.428101,55.200000,136.000000,415.000000
2,1.000000,1.388889,100.000000,0.446374,70.900000,142.000000,432.000000
3,1.000000,3.157895,100.000000,0.452997,31.600000,61.000000,190.000000
4,1.000000,42.857143,100.000000,0.000000,6.000000,1.000000,14.000000
5,1.000000,1.321586,100.000000,0.443664,74.000000,148.000000,454.000000
6,1.000000,5.263158,100.000000,0.474553,20.500000,35.000000,114.000000
7,1.000000,1.729107,100.000000,0.433690,46.000000,113.000000,347.000000
8,1.000000,9.836066,100.000000,0.472293,12.100000,17.000000,61.000000
9,1.000000,1.639344,100.000000,0.439960,59.600000,119.000000,366.000000
10,1.000000,0.956938,100.000000,0.439304,96.600000,207.000000,627.000000
