run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.448000,52.913386,45.206118,352.275000,147.305000
2,0.456000,65.927711,45.777873,300.276000,113.792000
3,0.441000,51.378641,46.454533,358.319000,154.985000
4,0.412000,61.339950,45.230149,302.701000,118.411000
5,0.429000,56.571429,47.647685,330.405000,133.861000
6,0.487000,75.503876,45.269157,283.302000,95.731000
7,0.491000,62.151899,44.845993,324.400000,125.034000
8,0.362000,48.053097,44.174747,347.720000,143.601000
9,0.472000,72.244898,45.087062,282.529000,104.631000
10,0.443000,69.399478,45.743375,283.476000,101.184000
