run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.016000,4.285714,13.793771,16.736000,0.000000
2,0.006000,1.323529,13.629941,16.536000,0.000000
3,0.018000,4.186047,14.669778,18.096000,0.000000
4,0.010000,1.818182,13.945342,18.394000,0.000000
5,0.018000,4.122137,16.242567,19.700000,0.000000
6,0.014000,2.658228,13.853829,17.278000,0.000000
7,0.010000,2.479339,14.199944,17.488000,0.000000
8,0.016000,2.711864,14.653062,18.796000,0.000000
9,0.016000,3.609023,15.030244,18.792000,0.000000
10,0.016000,3.902439,14.682644,17.566000,0.000000
