run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,avg_action_count
1,1.000000,27.447392,100.000000,0.361939,276.412000,76.754000
2,1.000000,32.573290,100.000000,0.379017,276.492000,79.064000
3,1.000000,24.291498,100.000000,0.393544,270.480000,79.004000
4,1.000000,35.885167,100.000000,0.399057,258.954000,71.304000
5,1.000000,30.769231,100.000000,0.376648,261.654000,72.628000
6,1.000000,30.581040,100.000000,0.371918,245.054000,61.724000
7,1.000000,22.091311,100.000000,0.396506,292.134000,89.670000
8,1.000000,28.818444,100.000000,0.383245,270.280000,77.532000
9,1.000000,16.547159,100.000000,0.413319,284.314000,85.978000
10,1.000000,28.790787,100.000000,0.363032,252.538000,67.934000
