run,success_rate,throughput,avg_agv_steps,avg_action_count
1,1.000000,25.568182,312.888000,115.001333
2,1.000000,25.832377,309.601333,111.418667
3,1.000000,28.901734,294.501333,100.413333
4,1.000000,29.840849,311.054667,114.797333
5,0.741333,16.680000,278.793333,104.620000
6,1.000000,25.670280,300.978667,105.816000
7,1.000000,28.337531,308.673333,111.918667
8,0.922667,32.361652,305.338667,114.697333
9,1.000000,23.734177,326.489333,128.929333
10,1.000000,32.397408,304.322667,110.142667
