run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.066667,4.137931,24.272191,3.633333,0.000000
2,0.100000,6.206897,31.741168,5.100000,0.000000
3,0.033333,2.068966,24.219951,3.466667,0.000000
4,0.033333,2.068966,22.757799,4.033333,0.000000
5,0.066667,4.137931,24.355008,4.433333,0.000000
6,0.033333,2.068966,30.347342,4.933333,0.000000
7,0.100000,6.206897,29.079640,5.200000,0.000000
8,0.100000,6.206897,29.303939,4.900000,0.000000
9,0.166667,10.344828,33.263614,4.600000,0.000000
10,0.033333,1.666667,24.965721,4.666667,0.000000
