run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,1.000000,25.531915,100.000000,20.550000,2.200000
2,1.000000,22.222222,100.000000,26.500000,3.950000
3,1.000000,19.672131,100.000000,24.000000,4.000000
4,1.000000,24.489796,100.000000,24.750000,4.800000
5,1.000000,17.910448,100.000000,28.350000,6.250000
6,1.000000,20.689655,100.000000,24.950000,4.550000
7,1.000000,19.354839,100.000000,31.450000,6.800000
8,1.000000,20.338983,100.000000,27.950000,6.100000
9,1.000000,21.818182,100.000000,20.900000,2.700000
10,1.000000,21.052632,100.000000,26.200000,3.900000
