run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.000000,0.000000,5.654668,9999.000000,0.000000
2,0.000000,0.000000,8.113300,9999.000000,0.000000
3,0.000000,0.000000,6.706333,9999.000000,0.000000
4,0.000000,0.000000,9.417596,9999.000000,0.000000
5,0.000000,0.000000,6.397153,9999.000000,0.000000
6,0.000000,0.000000,5.322161,9999.000000,0.000000
7,0.000000,0.000000,5.623793,9999.000000,0.000000
8,0.000000,0.000000,5.139977,9999.000000,0.000000
9,0.000000,0.000000,6.537167,9999.000000,0.000000
10,0.000000,0.000000,6.028128,9999.000000,0.000000
