run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,avg_action_count
1,0.200000,6.000000,42.695768,0.220872,7.100000,0.000000
2,0.100000,3.076923,30.396546,0.253731,4.700000,0.000000
3,0.250000,7.692308,45.137386,0.250151,6.200000,0.000000
4,0.250000,7.142857,38.149751,0.241366,6.300000,0.000000
5,0.150000,4.615385,33.639229,0.267305,4.850000,0.000000
6,0.300000,8.780488,49.325259,0.297929,7.550000,0.000000
7,0.350000,9.130435,49.248660,0.241847,8.150000,0.000000
8,0.150000,4.615385,33.001230,0.299870,5.000000,0.000000
9,0.150000,4.500000,33.851945,0.279981,5.650000,0.000000
10,0.250000,7.317073,41.718177,0.254970,6.400000,0.000000
