run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.000000,0.000000,19.580224,2.933333,0.000000
2,0.033333,2.068966,32.333981,5.966667,0.000000
3,0.033333,2.068966,26.493749,4.200000,0.000000
4,0.133333,8.275862,34.181346,4.433333,0.000000
5,0.200000,12.413793,38.502639,7.200000,0.000000
6,0.166667,10.000000,34.724303,5.800000,0.000000
7,0.133333,8.275862,32.127862,3.866667,0.000000
8,0.200000,12.413793,36.450004,4.200000,0.000000
9,0.200000,12.000000,34.424953,4.400000,0.000000
10,0.200000,10.909091,41.715037,6.033333,0.000000
