run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,avg_action_count
1,0.400000,15.319149,72.361719,0.006774,35.566667,17.200000
2,0.400000,13.584906,78.377959,0.006833,38.166667,18.266667
3,0.366667,10.476190,68.980178,0.024967,47.800000,25.233333
4,0.900000,26.129032,85.704070,0.008556,29.333333,6.900000
5,0.600000,18.000000,77.415220,0.006845,36.966667,14.566667
6,0.566667,17.000000,80.468728,0.006555,43.100000,20.400000
7,0.633333,21.111111,79.720333,0.006392,30.433333,12.433333
8,0.400000,11.250000,72.420102,0.006729,47.633333,21.800000
9,0.766667,22.622951,72.511750,0.006590,34.166667,12.600000
10,0.300000,9.642857,68.297753,0.007134,44.300000,24.800000
